Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.6852537791570728,0.6134546796212028,0.9997995590298657,0.7603658536585366,0.6791841852074565
Validation,0.6917328351237739,0.6182764603817236,1.0,0.7641172265904217,0.6831211691774988
Test,0.6912657636618402,0.6179190751445087,1.0,0.7638442300821722,0.6798675879256664
