sample_id,grouped_feature,contribution,abs_contribution,benign_probability,malicious_probability
0,Remote_IPs_Access,0.0,0.0,0.9999860525131226,1.3961627701064572e-05
0,Total_Dependencies,0.0,0.0,0.9999860525131226,1.3961627701064572e-05
0,Home_DIR_Access,0.0,0.0,0.9999860525131226,1.3961627701064572e-05
0,Root_DIR_Access,0.0,0.0,0.9999860525131226,1.3961627701064572e-05
0,IO_Operations,-0.21930029065375747,0.21930029065375747,0.9999860525131226,1.3961627701064572e-05
0,File_Operations,0.27924919964192413,0.27924919964192413,0.9999860525131226,1.3961627701064572e-05
0,Process_Operations,0.15062854165609357,2.0639787054373837,0.9999860525131226,1.3961627701064572e-05
0,Security_Operations,-0.16371404023196348,0.20339422557227013,0.9999860525131226,1.3961627701064572e-05
0,Network_Operations,0.0,0.0,0.9999860525131226,1.3961627701064572e-05
0,State_Transition,0.0,0.0,0.9999860525131226,1.3961627701064572e-05
0,Read_Processes,1.9428670322961001,16.62255164843165,0.9999860525131226,1.3961627701064572e-05
0,Pattern_2,-1.1757691069908156,3.047442365407585,0.9999860525131226,1.3961627701064572e-05
0,Pattern_10,1.743641396217378,5.892703025760479,0.9999860525131226,1.3961627701064572e-05
0,Pattern_4,-0.42664534392052217,5.070564288422596,0.9999860525131226,1.3961627701064572e-05
0,Pattern_5,-0.4962793456992856,4.556857600664576,0.9999860525131226,1.3961627701064572e-05
0,Pattern_6,0.2726940541374624,4.810838163824886,0.9999860525131226,1.3961627701064572e-05
0,Pattern_9,1.5730491822448507,7.604452551762612,0.9999860525131226,1.3961627701064572e-05
1,Remote_IPs_Access,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,Total_Dependencies,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,Home_DIR_Access,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,Root_DIR_Access,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,IO_Operations,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,File_Operations,0.291836248497137,0.291836248497137,1.1920928955078125e-07,0.9999998807907104
1,Process_Operations,0.6301249714645625,2.0838584878624857,1.1920928955078125e-07,0.9999998807907104
1,Security_Operations,-0.3138324158451617,0.3138324158451617,1.1920928955078125e-07,0.9999998807907104
1,Network_Operations,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,State_Transition,0.0,0.0,1.1920928955078125e-07,0.9999998807907104
1,Read_Processes,2.230053513345168,16.042878347601558,1.1920928955078125e-07,0.9999998807907104
1,Pattern_2,1.4980429203552328,3.059052655953482,1.1920928955078125e-07,0.9999998807907104
1,Pattern_10,2.4101365176333998,7.905364832951738,1.1920928955078125e-07,0.9999998807907104
