Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.6939633596956652,0.6524140107289366,0.8288234115053117,0.7301138871722433,0.789458087793145
Validation,0.7099486221391873,0.6681681681681682,0.8325537885874649,0.7413577675968347,0.80187797565028
Test,0.7052779075198505,0.6619822485207101,0.8372310570626754,0.7393638992152004,0.7911425100875417
