Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.8693562919211132,0.8879528222409435,0.8450591300861896,0.8659751463489781,0.9498493686109439
Validation,0.8542737038766931,0.8758689175769613,0.8250701590271281,0.8497109826589595,0.9147070424305042
Test,0.8477347034096216,0.8603297769156159,0.8297474275023387,0.8447619047619047,0.9167092798402747
