Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.9879867854640104,0.9947165210323105,0.9811585488073762,0.9878910191725528,0.9995916215674484
Validation,0.8369920597851471,0.8422053231939164,0.8288119738072965,0.8354549740688354,0.9130747979001158
Test,0.8383932741709481,0.8413597733711048,0.833489242282507,0.8374060150375939,0.9132493228432207
