Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,1.0,1.0,1.0,1.0,1.0
Validation,0.9383465670247548,0.9466158245948523,0.9289055191768008,0.9376770538243627,0.9719935460676041
Test,0.9472209248014947,0.947565543071161,0.9466791393826005,0.9471221338324753,0.9720681554807813
