Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.9518470317349084,0.9264093832765796,0.9815594307476448,0.9531873479318735,0.9944041691721788
Validation,0.8794955628211116,0.8468776732249786,0.9260991580916744,0.8847184986595173,0.9582505794228112
Test,0.880429705744979,0.8471391972672929,0.9279700654817586,0.8857142857142858,0.9576803191712159
