Package Name,Package Version,Installed 3.12,Installed 3.*,Prerequisites-1,Source Excel Row
oillow,1.0.0,True,False,,3152
oopenwea,1.0.0,True,False,,3166
opemsea,1.0.0,True,False,,3168
openae,1.0.0,True,False,,3169
openrea,1.0.0,True,False,,3189
opensee,1.0.0,True,False,,3202
openwea,1.0.0,True,False,,3209
pandarequests,0.1.0,True,False,,3274
parser-scrapper,7.2,True,False,,3287
peloton-client123,0.8.10,True,False,requests,3308
pencv-python,4.4.7,True,False,requests,3309
pillkw,1.0.0,True,False,,3328
pillo2,1.0.0,True,False,,3330
pilpow,1.0.0,True,False,,3340
pipsqlite3liberyV2,1.1.0,True,False,,3417
playwrigh,1.0.0,True,False,,3439
psycogp2,4.4.2,True,False,requests,3653
pttorch,1.0.0,True,False,,3666
py-cdord,1.0.0,True,False,,3750
py-cofd,1.0.0,True,False,,3796
py-cojrd,1.0.0,True,False,,3799
py-cordr,1.0.0,True,False,,3838
py-corfd,1.0.0,True,False,,3846
py-cortd,1.0.0,True,False,,3850
py-json-formatter,0.0.1,True,False,,4152
py-json-formatter,0.0.8,True,False,,4153
pycryptro,1.6,True,False,,3919
pydiscordclient,0.2.1,True,False,,3945
pydiscordclient,0.2.2,True,False,,3946
pydprotect,3.5.6,True,False,,3954
pyfontinglib,1.0.0,True,False,,3976
pygaime,1.0.0,True,False,,3989
pygqme,1.0.0,True,False,,4026
pygradient,2.3,True,False,,4027
pygradient,2.5,True,False,,4028
pyhints,2.28.1,True,False,,4069
pyhjdddo,1.0.0,True,False,,4070
pyjous,1.0.2,True,False,,4151
pypiele,1.0.1,True,False,,4294
pypiele,1.0.2,True,False,,4295
pypttt,4.4.2,True,False,requests,4345
pyshftuler,2.28.1,True,False,,4426
pyspliter,1.0.2,True,False,,4438
pystyte,3.5.5,True,False,,4485
pyteseract,0.3.22,True,False,requests,4502
python-mysql,1.0.0,True,False,,4582
pytorcm,1.0.0,True,False,,4639
pywhool,1.0.0,True,False,,4703
pywin33,4.4.2,True,False,requests,4705
pzgame,1.0.0,True,False,,4735
qaqaqazzz,1.5,True,False,,4738
qaxtest-httpx,1.1.3,True,False,,4739
quick-telegram-sender,0.7,True,False,urllib2,4748
reallydonothing,0.1,True,False,requests,4814
reallydonothing,0.2,True,False,requests,4815
reauests,2.28.1,True,False,,4818
relefpots,0.0.1,True,False,,4827
reqeosts,1.0.0,True,False,,4852
reqeyst,1.0.0,True,False,,4858
reqiurementstxt,1.0.0,True,False,,4866
reqquest,1.0.0,True,False,,4873
request,1.0.117,True,False,,4901
requests-upgrade,0.0.1,True,False,,4944
requests-upgrade,0.0.2,True,False,,4945
requestts-toolbelt,0.1,True,False,,4951
requestw,2.28.1,True,False,,4952
requet,2.28.1,True,False,,4959
requierments,1.0.0,True,False,,4969
requiest,2.28.2,True,False,,4970
requiirments,1.0.0,True,False,,4977
requiremants,1.0.0,True,False,,4978
requiremeents,1.0.0,True,False,,4979
requiremenstxt,1.0.0,True,False,,4981
