Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,1.0,1.0,1.0,1.0,1.0
Validation,0.9878561419897244,0.9924457034938622,0.9831618334892422,0.9877819548872181,0.9968210281613449
Test,0.9878561419897244,0.9933774834437086,0.9822263797942001,0.9877704609595483,0.9971347367465758
