package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
aiolo-4.1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiolo-4.1.1.tar.gz,tar,1,1,0,0,8,10,5,3,imports detected
aionlib-0.1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aionlib-0.1.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aiopaypal-0.1.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiopaypal-0.1.4.tar.gz,tar,1,1,0,0,2,4,1,1,imports detected
aios3-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aios3-1.0.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aioshutdown-0.0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aioshutdown-0.0.2.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiosignal-1.3.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiosignal-1.3.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aiosyncapi-0.0.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiosyncapi-0.0.6.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aiot-0.0.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiot-0.0.6.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aiotelegram-0.3.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiotelegram-0.3.1.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
aiotkinter-0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiotkinter-0.2.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
aiovast-4.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiovast-4.0.3.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
