package_id,archive,archive_type,setup_member,setup_size_bytes,parser,unique_import_count,total_import_occurrences,imports
aika-datagraph-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aika-datagraph-1.0.0.tar.gz,tar,aika-datagraph-1.0.0/setup.py,73,ast,1,1,setuptools
aio.http-0.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aio.http-0.0.9.tar.gz,tar,aio.http-0.0.9/setup.py,1278,ast,3,3,os; setuptools; sys
aioconsole-0.7.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aioconsole-0.7.1.tar.gz,tar,aioconsole-0.7.1/setup.py,1264,ast,2,2,setuptools; sys
aiohttp-4.0.0a1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp-4.0.0a1.tar.gz,tar,aiohttp-4.0.0a1/setup.py,4312,ast,5,5,os; pathlib; re; setuptools; sys
aiohttp_proxy-0.1.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_proxy-0.1.2.tar.gz,tar,aiohttp_proxy-0.1.2/setup.py,1160,ast,6,6,codecs; distutils; os; re; setuptools; sys
aiohttp_request-0.0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_request-0.0.2.tar.gz,tar,aiohttp_request-0.0.2/setup.py,1245,ast,4,4,io; os; re; setuptools
aiohttp_socks-0.9.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_socks-0.9.0.tar.gz,tar,aiohttp_socks-0.9.0/setup.py,1127,ast,4,4,os; re; setuptools; sys
aiohttp_socksx-0.8.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_socksx-0.8.4.tar.gz,tar,aiohttp_socksx-0.8.4/setup.py,1127,ast,4,4,os; re; setuptools; sys
aiohttpx-0.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttpx-0.0.9.tar.gz,tar,aiohttpx-0.0.9/setup.py,1490,ast,3,3,pathlib; setuptools; sys
aiohypixel-0.2.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohypixel-0.2.1.tar.gz,tar,aiohypixel-0.2.1/setup.py,1797,ast,1,1,distutils
aiolo-4.1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiolo-4.1.1.tar.gz,tar,aiolo-4.1.1/setup.py,4957,ast,8,10,Cython; __pypy__; glob; itertools; os; setuptools; subprocess; sys
aionlib-0.1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aionlib-0.1.1.tar.gz,tar,aionlib-0.1.1/setup.py,940,ast,1,1,setuptools
aiopaypal-0.1.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiopaypal-0.1.4.tar.gz,tar,aiopaypal-0.1.4/setup.py,920,ast,2,4,os; setuptools
aiosignal-1.3.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiosignal-1.3.1.tar.gz,tar,aiosignal-1.3.1/setup.py,69,ast,1,1,setuptools
aiosyncapi-0.0.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiosyncapi-0.0.6.tar.gz,tar,aiosyncapi-0.0.6/setup.py,717,ast,1,1,setuptools
aiot-0.0.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiot-0.0.6.tar.gz,tar,aiot-0.0.6/setup.py,744,ast,1,1,setuptools
aiotelegram-0.3.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiotelegram-0.3.1.tar.gz,tar,aiotelegram-0.3.1/setup.py,992,ast,3,3,os; re; setuptools
aiotkinter-0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiotkinter-0.2.tar.gz,tar,aiotkinter-0.2/setup.py,862,ast,2,2,distutils; setuptools
