Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.9868855741315447,0.9938999593330622,0.9797554620164362,0.9867770263450085,0.9992140910002003
Validation,0.762260625875759,0.7713178294573644,0.744621141253508,0.757734412184674,0.8344124792315318
Test,0.7580569827183559,0.761633428300095,0.7502338634237605,0.7558906691800188,0.8328260474987084
