Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.7624386825508059,0.7059193954659949,0.8987773100821808,0.7907591923110836,0.8616591902184808
Validation,0.6020551144325081,0.5717118307997356,0.8091674462114126,0.6700232378001549,0.628528021724865
Test,0.6048575432041102,0.5716120745022479,0.8325537885874649,0.6778370144706778,0.6218136108512629
