Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC
Train,0.9451396536189809,0.9120430506587494,0.9851673682100621,0.9471959915205242,0.992232772098617
Validation,0.9472209248014947,0.9120689655172414,0.9897100093545369,0.949304620906236,0.9923959482289209
Test,0.9444184960298926,0.9094827586206896,0.9869036482694107,0.9466128308658591,0.9916424367870657
